Date,No.of Files,No. of Peers,Min ShareRatio,Rounds,Satisfaction
Tue Apr 23 21:06:03 BDT 2013,1000,50,0.2,2000,123036.0
Tue Apr 23 21:06:04 BDT 2013,1000,50,0.2,2000,79981.0
Tue Apr 23 21:06:05 BDT 2013,1000,50,0.2,2000,90772.0
Tue Apr 23 21:07:03 BDT 2013,1000,50,0.4,2000,9305.0
Tue Apr 23 21:07:05 BDT 2013,1000,50,0.4,2000,14193.0
Tue Apr 23 21:07:10 BDT 2013,1000,50,0.3,2000,60572.0
Tue Apr 23 21:07:14 BDT 2013,1000,50,0.3,2000,38115.0
Tue Apr 23 21:07:16 BDT 2013,1000,50,0.3,2000,32433.0
Tue Apr 23 21:07:56 BDT 2013,1000,50,0.3,2000,46076.0
Tue Apr 23 21:07:57 BDT 2013,1000,50,0.3,2000,32010.0
Tue Apr 23 21:07:58 BDT 2013,1000,50,0.3,2000,58212.0
Tue Apr 23 21:07:59 BDT 2013,1000,50,0.3,2000,37273.0
Tue Apr 23 21:08:00 BDT 2013,1000,50,0.3,2000,40483.0
Tue Apr 23 21:08:01 BDT 2013,1000,50,0.3,2000,31794.0
Tue Apr 23 21:08:03 BDT 2013,1000,50,0.3,2000,21318.0
Tue Apr 23 21:08:04 BDT 2013,1000,50,0.3,2000,32990.0
Tue Apr 23 21:08:05 BDT 2013,1000,50,0.3,2000,48615.0
Tue Apr 23 21:08:06 BDT 2013,1000,50,0.3,2000,32976.0
Tue Apr 23 21:09:22 BDT 2013,1000,50,0.4,2000,1715.0
Tue Apr 23 21:09:23 BDT 2013,1000,50,0.4,2000,1848.0
Tue Apr 23 21:09:27 BDT 2013,1000,50,0.4,2000,11640.0
Tue Apr 23 21:09:29 BDT 2013,1000,50,0.4,2000,42513.0
Tue Apr 23 21:09:30 BDT 2013,1000,50,0.4,2000,5784.0
Tue Apr 23 21:09:32 BDT 2013,1000,50,0.4,2000,7984.0
Tue Apr 23 21:09:33 BDT 2013,1000,50,0.4,2000,15324.0
Tue Apr 23 21:09:34 BDT 2013,1000,50,0.4,2000,14931.0
Tue Apr 23 21:09:35 BDT 2013,1000,50,0.4,2000,7879.0
Tue Apr 23 21:09:36 BDT 2013,1000,50,0.4,2000,20263.0
Tue Apr 23 21:09:38 BDT 2013,1000,50,0.4,2000,6603.0
Tue Apr 23 21:09:39 BDT 2013,1000,50,0.4,2000,10342.0
Tue Apr 23 21:09:40 BDT 2013,1000,50,0.4,2000,6413.0
Tue Apr 23 21:10:48 BDT 2013,1000,50,0.6,2000,-1734.0
Tue Apr 23 21:10:49 BDT 2013,1000,50,0.6,2000,-2164.0
Tue Apr 23 21:10:51 BDT 2013,1000,50,0.6,2000,-578.0
Tue Apr 23 21:10:52 BDT 2013,1000,50,0.6,2000,-1333.0
Tue Apr 23 21:10:53 BDT 2013,1000,50,0.6,2000,-1075.0
Tue Apr 23 21:10:54 BDT 2013,1000,50,0.6,2000,-1114.0
Tue Apr 23 21:10:55 BDT 2013,1000,50,0.6,2000,-714.0
Tue Apr 23 21:10:56 BDT 2013,1000,50,0.6,2000,120.0
Tue Apr 23 21:10:57 BDT 2013,1000,50,0.6,2000,-1328.0
Tue Apr 23 21:10:58 BDT 2013,1000,50,0.6,2000,2122.0
Tue Apr 23 21:11:00 BDT 2013,1000,50,0.6,2000,-639.0
